bhasaSetu AI — Bilingual Worksheet
Language: Santali (संताली)  |  Level: Beginner  |  Activity: Read Aloud
Generated: 11/9/2026

No. | Hindi | English / Pronunciation | Translation
────────────────────────────────────────────────────────────────
1.  | नमस्ते | Namaste | Johar
2.  | धन्यवाद | Dhanyavaad | Sari Sari
3.  | अलविदा | Alvida | Jom jom
4.  | पानी | Paani | Dak
5.  | घर | Ghar | Era
6.  | खाना | Khaana | Jom
नमस्ते | Hello | Namaste | Johar
धन्यवाद | Thank you | Dhanyavaad | Sari Sari
अलविदा | Goodbye | Alvida | Jom jom
पानी | Water | Paani | Dak
घर | House | Ghar | Era
खाना | Food | Khaana | Jom
एक | One | Ek | Mit
दो | Two | Do | Bar
तीन | Three | Teen | Pe
चार | Four | Chaar | Pon
पांच | Five | Paanch | Monre
छह | Six | Chhah | Turui
सात | Seven | Saat | Eae
आठ | Eight | Aath | Iral
नौ | Nine | Nau | Are
दस | Ten | Das | Gel
माँ | Mother | Maa | Ayo
पिता | Father | Pita | Apu
बच्चा | Child | Bachcha | Hopon
आँख | Eye | Aankh | Met
कान | Ear | Kaan | Lutur
नाक | Nose | Naak | Mu'
सिर | Head | Sir | Bohok
हाथ | Hand | Haath | Ti'
पैर | Leg/Foot | Pair | Jang'
बाल | Hair | Baal | Uv
सूरज | Sun | Suraj | Singi
चाँद | Moon | Chaand | Chando
आग | Fire | Aag | Sengel
पेड़ | Tree | Ped | Daru
पत्थर | Stone | Patthar | Dhiri
आकाश | Sky | Aakash | Sirma
मिट्टी | Earth/Land | Mitti | Hasa
कुत्ता | Dog | Kutta | Seta
बिल्ली | Cat | Billi | Pusi
पक्षी | Bird | Pakshi | Chele
मछली | Fish | Machhli | Hako
साँप | Snake | Saanp | Bing
फूल | Flower | Phool | Baha
नमक | Salt | Namak | Bulung
aaनमस्ते | Hello | Namaste | Johar
धन्यवाद | Thank you | Dhanyavaad | Sari Sari
अलविदा | Goodbye | Alvida | Jom jom
पानी | Water | Paani | Dak
घर | House | Ghar | Era
खाना | Food | Khaana | Jom
एक | One | Ek | Mit
दो | Two | Do | Bar
तीन | Three | Teen | Pe
चार | Four | Chaar | Pon
पांच | Five | Paanch | Monre
छह | Six | Chhah | Turui
सात | Seven | Saat | Eae
आठ | Eight | Aath | Iral
नौ | Nine | Nau | Are
दस | Ten | Das | Gel
माँ | Mother | Maa | Ayo
पिता | Father | Pita | Apu
बच्चा | Child | Bachcha | Hopon
आँख | Eye | Aankh | Met
कान | Ear | Kaan | Lutur
नाक | Nose | Naak | Mu'
सिर | Head | Sir | Bohok
हाथ | Hand | Haath | Ti'
पैर | Leg/Foot | Pair | Jang'
बाल | Hair | Baal | Uv
सूरज | Sun | Suraj | Singi
चाँद | Moon | Chaand | Chando
आग | Fire | Aag | Sengel
पेड़ | Tree | Ped | Daru
पत्थर | Stone | Patthar | Dhiri
आकाश | Sky | Aakash | Sirma
मिट्टी | Earth/Land | Mitti | Hasa
कुत्ता | Dog | Kutta | Seta
बिल्ली | Cat | Billi | Pusi
पक्षी | Bird | Pakshi | Chele
